CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,RFMSegment,Cluster,Segment,PCA1,PCA2,TSNE1,TSNE2
12346,326,1,77183.6,1,1,5,7,At Risk,2,High-Value Active,0.5557915170976359,3.1485239790016744,9.462594,6.0326843
12347,3,7,4310.0,5,5,5,15,Champions,2,High-Value Active,1.9745900852918472,0.0756759438943083,30.135323,30.32104
12348,76,4,1797.24,2,4,4,10,At Risk,2,High-Value Active,0.7656941968875456,0.24110380079475507,34.669662,-7.230819
12349,19,1,1757.55,4,1,4,9,New Customers,0,High-Spend Watchlist,0.19359264862688583,-0.6724061100808887,-27.804777,-16.208954
12350,311,1,334.4,1,1,2,4,Lost Customers,1,Dormant Customers,-2.0267198294478375,1.3813289328047975,-16.149576,29.68044
12352,37,8,2506.04,3,5,5,13,Loyal Customers,2,High-Value Active,1.6531749488151375,0.26230143702728087,39.47645,25.239449
12353,205,1,89.0,1,1,1,3,Lost Customers,1,Dormant Customers,-2.156551659426018,0.05910893294828172,-45.282566,29.002396
12354,233,1,1079.4,1,1,4,6,At Risk,1,Dormant Customers,-1.0786393065256294,1.0514783618142753,-21.994404,11.2678585
12355,215,1,459.4,1,1,2,4,Lost Customers,1,Dormant Customers,-1.4080435584398787,0.637548929793324,-26.960297,14.907871
12356,23,3,2811.43,4,3,5,12,Potential Loyalists,2,High-Value Active,1.0364456369521182,-0.1870975771156432,25.568922,-18.727573
12357,34,1,6207.67,3,1,5,9,Needs Attention,0,High-Spend Watchlist,0.7369019478635583,-0.16181988660565313,-24.983326,-15.374391
12358,2,2,1168.06,5,2,4,11,Potential Loyalists,0,High-Spend Watchlist,0.4467054545668408,-0.763010279945703,4.3544974,-39.978844
12359,58,4,6310.03,3,4,5,12,Loyal Customers,2,High-Value Active,1.4656029103832526,0.46146352878270286,31.33881,7.976769
12360,53,3,2662.06,3,3,5,11,Needs Attention,2,High-Value Active,0.864793241448316,0.05869587563799917,23.87907,-16.592293
12361,288,1,189.9,1,1,1,3,Lost Customers,1,Dormant Customers,-2.1906688182283425,1.0107622820341595,-29.486858,34.39747
12362,4,10,5226.23,5,5,5,15,Champions,2,High-Value Active,2.3546354746997396,0.2843953264840335,22.989853,39.81116
12363,110,2,552.0,2,2,3,7,At Risk,0,High-Spend Watchlist,-0.4407826699304714,-0.0442510325447544,-8.111557,-19.908726
12364,8,4,1313.1,5,4,4,13,Champions,2,High-Value Active,0.9412660000833291,-0.4475965131966912,48.735096,-7.5225997
12365,292,2,641.38,1,2,3,6,At Risk,1,Dormant Customers,-1.2473767730874536,1.5915633913751428,-0.20226781,11.504938
12367,5,1,168.9,5,1,1,7,New Customers,0,High-Spend Watchlist,-0.8796230978873576,-1.4978153318411334,-73.43745,-12.231363
12370,52,4,3541.94,3,4,5,12,Loyal Customers,2,High-Value Active,1.2127598105064619,0.2353410824962514,34.770927,2.2697144
12371,45,2,1887.96,3,2,4,9,Needs Attention,0,High-Spend Watchlist,0.47309665622618846,-0.2428302272368244,3.6863966,-32.405224
12372,72,3,1298.04,3,3,4,10,Needs Attention,0,High-Spend Watchlist,0.4225146061384657,0.008813439946316219,24.57911,-32.237144
12373,312,1,364.6,1,1,2,4,Lost Customers,1,Dormant Customers,-1.9894648346247918,1.4160054228082277,-15.591736,28.947405
12374,26,1,742.9300000000001,4,1,3,8,New Customers,0,High-Spend Watchlist,-0.26022127224692454,-0.8700249177964019,-40.15348,-22.558401
12375,11,2,457.5,5,2,2,9,Potential Loyalists,0,High-Spend Watchlist,-0.05372946134831525,-0.9659201402376274,-11.661038,-55.829235
12377,316,2,1628.12,1,2,4,7,At Risk,1,Dormant Customers,-0.909080308647002,2.0812864497600234,2.4800367,9.84486
12378,130,1,4008.62,2,1,5,8,At Risk,0,High-Spend Watchlist,0.05941084528293774,0.5457169023708835,-24.672874,-13.587778
12379,82,2,852.24,2,2,3,7,At Risk,0,High-Spend Watchlist,-0.09372483348824552,-0.15851712956758537,-6.066709,-27.713657
12380,22,4,2724.81,4,4,5,13,Champions,2,High-Value Active,1.2297750363350295,-0.10574377700693377,38.68107,1.9788113
12381,5,5,1845.31,5,4,4,13,Champions,2,High-Value Active,1.2882556446614535,-0.29022356746799177,61.882492,6.8621583
12383,185,5,1850.56,1,4,4,9,At Risk,2,High-Value Active,0.4195753869218486,1.283893763596294,19.530758,-2.4516697
12384,29,2,585.27,4,2,3,9,Potential Loyalists,0,High-Spend Watchlist,-0.020732267875921796,-0.7346443718134553,-7.7051387,-47.388603
12386,338,2,401.9,1,2,2,5,Lost Customers,1,Dormant Customers,-1.6974577519689422,1.8532860225281618,-1.4203662,14.90268
12388,16,6,2780.66,4,4,5,13,Champions,2,High-Value Active,1.575934140796735,-0.0020434618488739675,47.442665,22.583033
12390,80,1,549.84,2,1,3,6,At Risk,0,High-Spend Watchlist,-0.6679397548390126,-0.4884454040458716,-39.20805,-9.574385
12391,22,1,439.66,4,1,2,7,New Customers,0,High-Spend Watchlist,-0.49653194850168686,-1.062521653515484,-49.232033,-22.482533
12393,73,4,1582.6000000000001,2,4,4,10,At Risk,2,High-Value Active,0.7181442119699235,0.17664526741332456,35.581844,-8.358389
12394,64,2,1272.48,3,2,4,9,Needs Attention,0,High-Spend Watchlist,0.18878109671301974,-0.1953717471657358,-1.1566101,-31.174957
12395,20,12,3018.63,4,5,5,14,Champions,2,High-Value Active,2.1619586481094535,0.33365608774561056,29.05826,49.14425
12397,36,2,2409.9,3,2,5,10,Needs Attention,0,High-Spend Watchlist,0.6357024261442159,-0.2480993877500038,5.1983223,-32.054466
12398,46,1,1635.6599999999999,3,1,4,8,Needs Attention,0,High-Spend Watchlist,0.02801591380004074,-0.4580256867247906,-28.44166,-15.44337
12399,120,4,1108.65,2,4,4,10,At Risk,0,High-Spend Watchlist,0.3173369407550052,0.48045062897486895,33.309715,-13.506301
12401,304,1,84.3,1,1,1,3,Lost Customers,1,Dormant Customers,-2.661271692884736,0.9082687125553639,-33.999523,43.152073
12402,324,1,225.6,1,1,1,3,Lost Customers,1,Dormant Customers,-2.280990622324277,1.3769877559230999,-21.662464,40.99382
12403,50,1,427.7,3,1,2,6,Needs Attention,0,High-Spend Watchlist,-0.6453084157051292,-0.8260694698831332,-46.99187,-16.033527
