StockCode,Description,Revenue,Quantity,Orders
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
22423,REGENCY CAKESTAND 3 TIER,142264.75,12374,1703
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100392.1,36706,1971
85099B,JUMBO BAG RED RETROSPOT,85040.54000000001,46078,1600
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195
POST,POSTAGE,77803.96,3120,1099
47566,PARTY BUNTING,68785.23000000001,15279,1379
84879,ASSORTED COLOUR BIRD ORNAMENT,56413.03,35263,1375
M,Manual,53419.93,6933,253
23084,RABBIT NIGHT LIGHT,51251.24,27153,801
79321,CHILLI LIGHTS,46265.11,9646,519
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42584.130000000005,15591,980
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2
21137,BLACK RECORD COVER FRAME,39045.8,11401,313
22386,JUMBO BAG PINK POLKADOT,37254.36,20148,871
23284,DOORMAT KEEP CALM AND COME IN,35880.85,5338,648
23298,SPOTTY BUNTING,35509.55,7633,1003
82484,WOOD BLACK BOARD ANT WHITE FINISH,34414.71,5913,604
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33298.3,7010,1146
22960,JAM MAKING SET WITH JARS,32616.22,8140,878
